Id;Designator;Footprint;Quantity;Designation;Price (total) (euro);Link
1;C1, C3, C5;C_0402_1005Metric;3;0.1uf;0,15;https://www.mouser.ee/en/ProductDetail/Murata-Electronics/GRM155R62A104ME14D?qs=IPQhFcwEUOgMaa1bf1Gh1w%3D%3D
2;C2, C4, C6, C7;C_0402_1005Metric;4;1uf;0,27;https://www.mouser.ee/en/ProductDetail/TAIYO-YUDEN/MCASE105SB5105KFNA01?qs=sGAEpiMZZMsh%252B1woXyUXj3XUfju0vRpjoRnrt25hIj4%3D
3;C8;C_0402_1005Metric;1;1nf;0,09;https://www.mouser.ee/en/ProductDetail/Murata-Electronics/GRM155R61A102KA01D?qs=sGAEpiMZZMsh%252B1woXyUXj1w4UkxBxNprF22JOn4fedk%3D
4;D2;D_SOD-323_HandSoldering;1;BAT54HT1G;0,16;https://www.mouser.ee/en/ProductDetail/onsemi/BAT54HT1G?qs=vLkC5FC1VN%252BK3ZQA%252ByHPIA%3D%3D
5;IC1;QFN40P400X400X80-33N-D;1;BQ41Z50RSNR;4,88;https://www.mouser.ee/en/ProductDetail/Texas-Instruments/BQ41Z50RSNR?qs=2FehpBK1j95h5MRSV2e3rA%3D%3D
6;J2, J4;JST_VH_S4P-VH_1x04_P3.96mm_Horizontal;2;;0,52;https://www.mouser.ee/en/ProductDetail/JST-Commercial/S4P-VHLFSN?qs=QpmGXVUTftGoUBD%252BPjD3%2FQ%3D%3D
7;J3;JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical;1;out;0,21;https://www.mouser.ee/en/ProductDetail/JST-Commercial/B3B-ZR-3.4LFSN?qs=cdbOS8ANM9A4HB4OVixO0g%3D%3D
8;;;;;;
9;J5;JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical;1;in;0,28;https://www.mouser.ee/en/ProductDetail/JST-Commercial/B6B-ZR-3.4LFSN?qs=QpmGXVUTftFTUFNLJp%252BAEQ%3D%3D
10;Q1, Q2;TDSON-8-1;2;CSD18512Q5B;4,12;https://www.mouser.ee/en/ProductDetail/Texas-Instruments/CSD18512Q5B?qs=34RfhUjJmKeWWuFTpy7f3A%3D%3D
11;R1, R13;R_0603_1608Metric;2;10k;0,09;https://www.mouser.ee/en/ProductDetail/YAGEO/RT0603FRE1310KL?qs=sGAEpiMZZMtlubZbdhIBIE441mth93wmotyGspRJebc%3D
12;R2, R3, R4, R10, R11;R_0402_1005Metric;5;100 ohm;0,08;https://www.mouser.ee/en/ProductDetail/Bourns/CR0402-FX-1000GLF?qs=sGAEpiMZZMtlubZbdhIBIPJa1ZrpVFACy4jojJEYZ1k%3D
13;R5;R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm;1;R_Shunt;2,55;https://www.mouser.ee/en/ProductDetail/Vishay-Dale/WSK25123L000FEA?qs=l%252BoLuM8chxoqEmTKH2yXCw%3D%3D
14;R6;R_0603_1608Metric;1;100 ohm;0,09;https://www.mouser.ee/en/ProductDetail/Vishay/CRCW0603100RFKECC?qs=sGAEpiMZZMtlubZbdhIBIEVnJA25NYWZxDO4C52kfNE%3D
15;R7, R12;R_0402_1005Metric;2;5.1k;0,08;https://www.mouser.ee/en/ProductDetail/YAGEO/RC0402FR-075K1L?qs=sGAEpiMZZMtlubZbdhIBIIG9AQe2e4YzlxJduoE%2FPKY%3D
16;R8, R9;R_0402_1005Metric;2;10M;0,08;https://www.mouser.ee/en/ProductDetail/YAGEO/AC0402DR-0710ML?qs=w%2Fv1CP2dgqr%252BP88vX9ZHng%3D%3D
17;SW1, SW2;SW_SPST_B3U-1000P;2;;1,87;https://www.mouser.ee/en/ProductDetail/Omron-Electronics/B3U-1000P?qs=AO7BQMcsEu4ip80xyf2FwA%3D%3D
;;;;Total (EUR);15,52;
;;;;Total (USD);18,01;
