Id;Designator;Footprint;Quantity;Designation;Price (total) (EUR);Link;Part number
1;C1;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;1;4.7uf;0,12;https://www.mouser.ee/en/ProductDetail/Samsung-Electro-Mechanics/CL10A475KO8NNNC?qs=sGAEpiMZZMsh%252B1woXyUXjxqcB7t9naYp0sNr2K5ITfU%3D;CL10A475KO8NNNC 
2;C2, C11;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;2;22uf;0,28;https://www.mouser.ee/en/ProductDetail/Murata-Electronics/GRM188R60J226MEA0J?qs=sGAEpiMZZMsh%252B1woXyUXj0enDTfpXnaThcsyUIS6WJA%3D;GRM188R60J226MEA0J 
3;C3;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;1;120pf;0,09;https://www.mouser.ee/en/ProductDetail/Murata-Electronics/GCM1555C1H121JA16D?qs=bGEzvQhTDnZomY%2Fu2q7nlQ%3D%3D;GCM1555C1H121JA16D 
4;C4;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;1;1uf;0,09;https://www.mouser.ee/en/ProductDetail/Samsung-Electro-Mechanics/CL10B105KQ8NNNC?qs=sGAEpiMZZMsh%252B1woXyUXjxqcB7t9naYpRIf%2F8lOXLwA%3D;CL10B105KQ8NNNC 
5;C5, C6, C7, C9, C10, C12, C13, C14;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;8;100nF;0,15;https://www.mouser.ee/en/ProductDetail/Murata-Electronics/GRM155R62A104ME14D?qs=IPQhFcwEUOgMaa1bf1Gh1w%3D%3D;GRM155R62A104ME14D 
6;C8;C_0201_0603Metric_Pad0.64x0.40mm_HandSolder;1;100nF;0,09;https://www.mouser.ee/en/ProductDetail/Murata-Electronics/GRM033R61C104KE18J?qs=d0WKAl%252BL4KZL9aS%252BPETn%2Fw%3D%3D;GRM033R61C104KE18J 
7;;;;;;;
8;J1, J2;JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal;2;LED;0,26;https://www.mouser.ee/en/ProductDetail/JST-Commercial/S2B-XH-A-1LFSN?qs=QpmGXVUTftHhNeC%252BPQWeTw%3D%3D;S2B-XH-A-1(LF)(SN) 
9;J3;SAMESKY_UP32-1-C-H-G-BMT-P24;1;UP32-1-C-H-G-BMT-P24;0,78;https://www.mouser.ee/en/ProductDetail/Same-Sky/UP32-1-C-H-G-BMT-P24?qs=6avfeC6zeS4Y2l8mJTj2vg%3D%3D;UP32-1-C-H-G-BMT-P24 
10;J4;JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal;1;RGB 2A max;0,6;https://www.mouser.ee/ProductDetail/JST-Commercial/S4B-XH-SM4-TBLFSN?qs=QpmGXVUTftFIPbbIXV0K6A%3D%3D;S4B-XH-SM4-TB(LF)(SN) 
